epoch,accuracy,auc,loss,recall,val_accuracy,val_auc,val_loss,val_recall
0,0.9807752966880798,0.0,0.10377277433872223,0.9807752966880798,1.0,0.0,0.0042342450469732285,1.0
1,1.0,0.0,0.0020568487234413624,1.0,1.0,0.0,0.0008085450390353799,1.0
2,1.0,0.0,0.0006639554048888385,1.0,1.0,0.0,0.00034439688897691667,1.0
3,1.0,0.0,0.000319307524478063,1.0,1.0,0.0,0.00019935860473196954,1.0
4,1.0,0.0,0.00017961541016120464,1.0,1.0,0.0,0.00010054525046143681,1.0
5,1.0,0.0,0.00011014632764272392,1.0,1.0,0.0,6.11031282460317e-05,1.0
6,1.0,0.0,7.199392712209374e-05,1.0,1.0,0.0,4.365497807157226e-05,1.0
7,1.0,0.0,4.8442394472658634e-05,1.0,1.0,0.0,2.6966714358422905e-05,1.0
8,1.0,0.0,3.3374166378052905e-05,1.0,1.0,0.0,1.913167398015503e-05,1.0
9,1.0,0.0,2.557416883064434e-05,1.0,1.0,0.0,1.5804849681444466e-05,1.0
10,1.0,0.0,2.095233867294155e-05,1.0,1.0,0.0,1.235790205100784e-05,1.0
11,1.0,0.0,1.718346175039187e-05,1.0,1.0,0.0,1.0522728189243935e-05,1.0
12,1.0,0.0,1.4319090041681193e-05,1.0,1.0,0.0,8.29269629321061e-06,1.0
13,1.0,0.0,1.252832225873135e-05,1.0,1.0,0.0,7.613733487232821e-06,1.0
14,1.0,0.0,1.0555929293332156e-05,1.0,1.0,0.0,5.969882749923272e-06,1.0
15,1.0,0.0,9.428891644347459e-06,1.0,1.0,0.0,5.418042292149039e-06,1.0
16,1.0,0.0,8.541066563338973e-06,1.0,1.0,0.0,4.994026767235482e-06,1.0
17,1.0,0.0,7.5856223702430725e-06,1.0,1.0,0.0,4.2042724999191705e-06,1.0
18,1.0,0.0,6.862147074571112e-06,1.0,1.0,0.0,3.82614189220476e-06,1.0
19,1.0,0.0,6.228417532838648e-06,1.0,1.0,0.0,3.5021332678297767e-06,1.0
0,0.9335241317749023,0.9837233424186707,0.16390186548233032,0.9299388527870178,0.4979757070541382,0.5,nan,0.0
1,0.49474889039993286,0.5,nan,0.0,0.4979757070541382,0.5,nan,0.0
2,0.49474889039993286,0.5,nan,0.0,0.4979757070541382,0.5,nan,0.0
0,0.8117933869361877,0.8998392224311829,0.39969944953918457,0.7879686951637268,0.4962029457092285,0.9180410504341125,1.7774529457092285,0.0
1,0.9191965460777283,0.9749926328659058,0.2063782811164856,0.9092517495155334,0.9379544258117676,0.9916695356369019,0.14937110245227814,0.9794740080833435
2,0.9461693167686462,0.9875814318656921,0.14402230083942413,0.9466354846954346,0.965260922908783,0.9945252537727356,0.09293621778488159,0.9653624296188354
3,0.9583356976509094,0.992035448551178,0.11393257230520248,0.9597054719924927,0.9714008569717407,0.9965370297431946,0.07506559044122696,0.9669660329818726
4,0.963959813117981,0.993989884853363,0.0971311628818512,0.9666115045547485,0.9777023792266846,0.9975996613502502,0.06285614520311356,0.9794740080833435
5,0.9698708653450012,0.9956449866294861,0.0815170556306839,0.9718623161315918,0.9794797301292419,0.9983800053596497,0.05724828317761421,0.9903784394264221
6,0.9726255536079407,0.9963974952697754,0.07389628887176514,0.9749443531036377,0.9785102605819702,0.9983365535736084,0.056341495364904404,0.9666453003883362
7,0.976298451423645,0.9971189498901367,0.0656302198767662,0.9781975746154785,0.9760866165161133,0.998188853263855,0.05968150123953819,0.9599102139472961
8,0.9784218072891235,0.9974587559700012,0.05979396775364876,0.9817932844161987,0.9638067483901978,0.9980051517486572,0.09878455102443695,0.9294419288635254
9,0.980086088180542,0.9979296326637268,0.05442218855023384,0.9829918146133423,0.9861043691635132,0.9993932247161865,0.03648778051137924,0.9797947406768799
10,0.9825537800788879,0.9982681274414062,0.049387700855731964,0.9845328330993652,0.9890127778053284,0.9995459914207458,0.02818288467824459,0.9878126978874207
11,0.9841606616973877,0.9984056949615479,0.045793864876031876,0.9857884645462036,0.9901437759399414,0.9995356798171997,0.02823803573846817,0.9903784394264221
12,0.9844189286231995,0.9987644553184509,0.042244210839271545,0.9864162802696228,0.9907901287078857,0.9995965361595154,0.0278351828455925,0.9884541630744934
13,0.9859684109687805,0.9987397789955139,0.040206972509622574,0.9885851144790649,0.989820659160614,0.9994514584541321,0.03055267222225666,0.9846054911613464
14,0.9863414764404297,0.9988369941711426,0.03837405890226364,0.9876719117164612,0.9893358945846558,0.9997484683990479,0.0252071600407362,0.9964721202850342
15,0.9874892234802246,0.9989030361175537,0.03513069823384285,0.9891558885574341,0.9891743659973145,0.9996458292007446,0.029389705508947372,0.9801154732704163
16,0.9885222315788269,0.9990715980529785,0.03277629613876343,0.9901832342147827,0.9927290081977844,0.9998079538345337,0.018413269892334938,0.9929441809654236
17,0.9890961050987244,0.9992976188659668,0.03068031184375286,0.9909822344779968,0.9915980100631714,0.9997832179069519,0.02361435815691948,0.9868505597114563
18,0.989813506603241,0.9992712140083313,0.02961331233382225,0.9912676215171814,0.989820659160614,0.9995458722114563,0.026883266866207123,0.9987171292304993
19,0.9897847771644592,0.9992480278015137,0.027733612805604935,0.9906398057937622,0.9946679472923279,0.9998480081558228,0.01586124673485756,0.9948685169219971
